primary_label,latitude,longitude,scientific_name,encoded_label_y
asbfly,39.2297,118.1987,Muscicapa dauurica,0
ashdro1,27.362,91.0286,Dicrurus leucophaeus,1
ashpri1,28.464,76.893,Prinia socialis,2
ashwoo2,11.3473,107.1501,Artamus fuscus,3
asikoe2,13.7308,100.5671,Eudynamys scolopaceus,4
asiope1,,,Anastomus oscitans,5
aspfly1,13.347,74.789,Terpsiphone paradisi,6
aspswi1,26.5949,93.4516,Cypsiurus balasiensis,7
barfly1,,,Ficedula nigrorufa,8
barswa,55.9937,-3.5605,Hirundo rustica,9
bcnher,4.782,-71.774,Nycticorax nycticorax,10
bkcbul1,15.399,74.176,Rubigula gularis,11
bkrfla1,26.6667,93.3501,Dinopium benghalense,12
bkskit1,4.0055,96.485,Elanus caeruleus,13
bkwsti,23.200683,58.9307,Himantopus himantopus,14
bladro1,25.0988,121.5169,Dicrurus macrocercus,15
blaeag1,24.0826,121.1707,Ictinaetus malaiensis,16
blakit1,12.391,-1.493,Milvus migrans,17
blhori1,26.5949,93.4516,Oriolus xanthornus,18
blnmon1,23.503,121.44,Hypothymis azurea,19
blrwar1,58.318024,13.835984,Acrocephalus dumetorum,20
bncwoo3,29.5328,78.9278,Yungipicus nanus,21
brakit1,4.9327,100.4593,Haliastur indus,22
brasta1,27.1501,77.5001,Sturnia pagodarum,23
brcful1,15.9536,73.9979,Alcippe poioicephala,24
brfowl1,13.9144,104.5538,Ketupa zeylonensis,25
brnhao1,13.9144,104.5538,Ninox scutulata,26
brnshr,22.537,88.3395,Lanius cristatus,27
brodro1,23.503,121.44,Dicrurus aeneus,28
brwjac1,23.4812,87.3054,Metopidius indicus,29
brwowl1,27.2185,90.6583,Strix leptogrammica,30
btbeat1,10.9418,108.1323,Merops philippinus,31
bwfshr1,29.421,79.1585,Hemipus picatus,32
categr,28.899,-81.808,Bubulcus ibis,33
chbeat1,11.3473,107.1501,Merops leschenaulti,34
cohcuc1,13.347,74.789,Hierococcyx varius,35
comfla1,1.3521,103.7639,Dinopium javanense,36
comgre,58.4834,14.5014,Tringa nebularia,37
